"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","533","POST add a new product","DummyJSON API","Sun Apr 26 04:38:08 UTC 2026","passed","Sun Apr 26 04:38:09 UTC 2026","DummyJSON Products API","dummyjson/product.spec.ts","",""
"","314","Get current authenticated user","DummyJSON API","Sun Apr 26 04:38:08 UTC 2026","passed","Sun Apr 26 04:38:09 UTC 2026","DummyJSON Auth API","dummyjson/auth.spec.ts","",""
"","64","Find pets by status","Pet Store API","Sun Apr 26 04:38:10 UTC 2026","passed","Sun Apr 26 04:38:10 UTC 2026","Pet Store - Pet API","petstore/pet.spec.ts","",""
"","31","Delete user","Pet Store API","Sun Apr 26 04:38:10 UTC 2026","passed","Sun Apr 26 04:38:10 UTC 2026","Pet Store - User API","petstore/user.spec.ts","",""
"","421","GET all products","DummyJSON API","Sun Apr 26 04:38:08 UTC 2026","passed","Sun Apr 26 04:38:08 UTC 2026","DummyJSON Products API","dummyjson/product.spec.ts","",""
"","28","Get pet by ID","Pet Store API","Sun Apr 26 04:38:10 UTC 2026","passed","Sun Apr 26 04:38:10 UTC 2026","Pet Store - Pet API","petstore/pet.spec.ts","",""
"","26","Delete a pet","Pet Store API","Sun Apr 26 04:38:10 UTC 2026","passed","Sun Apr 26 04:38:10 UTC 2026","Pet Store - Pet API","petstore/pet.spec.ts","",""
"","142","DELETE a product","DummyJSON API","Sun Apr 26 04:38:09 UTC 2026","passed","Sun Apr 26 04:38:09 UTC 2026","DummyJSON Products API","dummyjson/product.spec.ts","",""
"","26","Login user","Pet Store API","Sun Apr 26 04:38:10 UTC 2026","passed","Sun Apr 26 04:38:10 UTC 2026","Pet Store - User API","petstore/user.spec.ts","",""
"","561","Login with valid credentials","DummyJSON API","Sun Apr 26 04:38:08 UTC 2026","passed","Sun Apr 26 04:38:08 UTC 2026","DummyJSON Auth API","dummyjson/auth.spec.ts","",""
"","154","Login with invalid credentials returns error","DummyJSON API","Sun Apr 26 04:38:09 UTC 2026","passed","Sun Apr 26 04:38:09 UTC 2026","DummyJSON Auth API","dummyjson/auth.spec.ts","",""
"","186","Create a new user","Pet Store API","Sun Apr 26 04:38:10 UTC 2026","passed","Sun Apr 26 04:38:10 UTC 2026","Pet Store - User API","petstore/user.spec.ts","",""
"","31","Get user by username","Pet Store API","Sun Apr 26 04:38:10 UTC 2026","passed","Sun Apr 26 04:38:10 UTC 2026","Pet Store - User API","petstore/user.spec.ts","",""
"","266","Create a new pet","Pet Store API","Sun Apr 26 04:38:10 UTC 2026","passed","Sun Apr 26 04:38:10 UTC 2026","Pet Store - Pet API","petstore/pet.spec.ts","",""
